TransitionTypeID,TransitionGroupID,IsAuto
Reforestation Shrubland: White/Red/Jack Pine Group,Reforestation,
Reforestation Shrubland: Spruce/Fir Group,Reforestation,
Reforestation Shrubland: Longleaf/Slash Pine Group,Reforestation,
Reforestation Shrubland: Loblolly/Shortleaf Pine Group,Reforestation,
Reforestation Shrubland: Pinyon/Juniper Group,Reforestation,
Reforestation Shrubland: Douglas-fir Group,Reforestation,
Reforestation Shrubland: Ponderosa Pine Group,Reforestation,
Reforestation Shrubland: Western White Pine Group,Reforestation,
Reforestation Shrubland: Fir/Spruce/Mountain Hemlock Group,Reforestation,
Reforestation Shrubland: Lodgepole Pine Group,Reforestation,
Reforestation Shrubland: Hemlock/Sitka Spruce Group,Reforestation,
Reforestation Shrubland: Western Larch Group,Reforestation,
Reforestation Shrubland: Redwood Group,Reforestation,
Reforestation Shrubland: Other Western Softwood Group,Reforestation,
Reforestation Shrubland: California Mixed Conifer Group,Reforestation,
Reforestation Shrubland: Exotic Softwoods Group,Reforestation,
Reforestation Shrubland: Oak/Pine Group,Reforestation,
Reforestation Shrubland: Oak/Hickory Group,Reforestation,
Reforestation Shrubland: Oak/Gum/Cypress Group,Reforestation,
Reforestation Shrubland: Elm/Ash/Cottonwood Group,Reforestation,
Reforestation Shrubland: Maple/Beech/Birch Group,Reforestation,
Reforestation Shrubland: Aspen/Birch Group,Reforestation,
Reforestation Shrubland: Alder/Maple Group,Reforestation,
Reforestation Shrubland: Western Oak Group,Reforestation,
Reforestation Shrubland: Tanoak/Laurel Group,Reforestation,
Reforestation Shrubland: Other Western Hardwoods Group,Reforestation,
Reforestation Shrubland: Tropical Hardwoods Group,Reforestation,
Reforestation Shrubland: Exotic Hardwoods Group,Reforestation,
